Waktu,Tipe Kejadian,Kabupaten / Kota,Cuaca,Tingkatan
09/03/2024 13.00.00,Banjir,Magetan Kabupaten,Hujan,SEDANG
08/03/2024 17.51.00,Banjir,Probolinggo Kabupaten,Hujan,RENDAH
08/03/2024 14.00.00,Banjir,Jember Kabupaten,Hujan,SEDANG
08/03/2024 14.00.00,Banjir,Pasuruan Kabupaten,Hujan,TINGGI
08/03/2024 12.00.00,Banjir,Malang Kabupaten,Hujan Lebat,RENDAH
07/03/2024 13.00.00,Banjir,Magetan Kabupaten,Hujan Lebat,SEDANG
06/03/2024 21.00.00,Banjir,Bojonegoro Kabupaten,Hujan Lebat,SEDANG
06/03/2024 19.00.00,Banjir,Situbondo Kabupaten,Cerah Berawan,RENDAH
06/03/2024 07.30.00,Banjir,Mojokerto Kota,Hujan,RENDAH
06/03/2024 05.00.00,Banjir,Jombang Kabupaten,Hujan,SEDANG
06/03/2024 04.00.00,Banjir,Jombang Kabupaten,Hujan Lebat,RENDAH
06/03/2024 04.00.00,Banjir,Jombang Kabupaten,Hujan,RENDAH
06/03/2024 04.00.00,Banjir,Jombang Kabupaten,Hujan,SEDANG
06/03/2024 03.00.00,Banjir,Jombang Kabupaten,Hujan,RENDAH
06/03/2024 01.00.00,Banjir,Mojokerto Kabupaten,Hujan Ringan,SEDANG
06/03/2024 01.00.00,Banjir,Mojokerto Kabupaten,Hujan Sangat Lebat,TINGGI
05/03/2024 23.00.00,Banjir,Mojokerto Kabupaten,Hujan Lebat,RENDAH
05/03/2024 23.00.00,Banjir,Mojokerto Kabupaten,Cerah Berawan,SEDANG
05/03/2024 18.40.00,Banjir,Bojonegoro Kabupaten,Hujan,SEDANG
05/03/2024 18.30.00,Banjir,Madiun Kabupaten,Hujan,RENDAH
05/03/2024 18.30.00,Banjir,Magetan Kabupaten,Hujan,RENDAH
05/03/2024 16.00.00,Banjir,Blitar Kabupaten,Hujan,RENDAH
05/03/2024 15.00.00,Banjir,Trenggalek Kabupaten,Hujan Ringan,RENDAH
04/03/2024 19.36.00,Banjir,Bondowoso Kabupaten,Hujan Sedang,RENDAH
04/03/2024 03.00.00,Banjir,Ponorogo Kabupaten,Cerah,SEDANG
03/03/2024 19.00.00,Banjir,Sidoarjo Kabupaten,Hujan Sedang,RENDAH
03/03/2024 19.00.00,Banjir,Sidoarjo Kabupaten,Hujan Lebat,RENDAH
03/03/2024 16.00.00,Banjir,Madiun Kabupaten,Hujan Lebat,RENDAH
03/03/2024 15.00.00,Banjir,Sidoarjo Kabupaten,Hujan Lebat,RENDAH
03/03/2024 14.00.00,Banjir,Lumajang Kabupaten,Hujan Sedang,RENDAH
02/03/2024 21.00.00,Banjir,Nganjuk Kabupaten,Hujan Lebat,RENDAH
02/03/2024 21.00.00,Banjir,Nganjuk Kabupaten,Hujan Lebat,RENDAH
01/03/2024 16.00.00,Banjir,Ponorogo Kabupaten,Hujan Lebat,RENDAH
01/03/2024 14.00.00,Banjir,Jember Kabupaten,Hujan,RENDAH
28/02/2024 04.00.00,Banjir,Mojokerto Kabupaten,Hujan Lebat,SEDANG
27/02/2024 22.37.00,Banjir,Mojokerto Kabupaten,Hujan Lebat,SEDANG
26/02/2024 18.30.00,Banjir,Pamekasan Kabupaten,Hujan Lebat,RENDAH
25/02/2024 20.00.00,Banjir,Jombang Kabupaten,Hujan,RENDAH
25/02/2024 20.00.00,Banjir,Jombang Kabupaten,Hujan Ringan,RENDAH
25/02/2024 19.30.00,Banjir,Probolinggo Kabupaten,Hujan,RENDAH
25/02/2024 19.30.00,Banjir,Pasuruan Kota,Hujan,RENDAH
25/02/2024 18.30.00,Banjir,Madiun Kabupaten,Hujan,RENDAH
25/02/2024 16.00.00,Banjir,Jombang Kabupaten,Hujan,RENDAH
25/02/2024 15.00.00,Banjir,Pasuruan Kabupaten,Hujan,RENDAH
24/02/2024 20.30.00,Banjir,Probolinggo Kabupaten,Hujan,RENDAH
24/02/2024 19.00.00,Banjir,Pasuruan Kabupaten,Hujan,RENDAH
24/02/2024 18.00.00,Banjir Bandang,Pasuruan Kabupaten,Hujan Lebat,RENDAH
23/02/2024 20.00.00,Banjir,Malang Kabupaten,Hujan Lebat,RENDAH
21/02/2024 16.00.00,Banjir,Jombang Kabupaten,Cerah Berawan,SEDANG
19/02/2024 21.00.00,Banjir,Sidoarjo Kabupaten,Hujan Lebat,SEDANG
18/02/2024 18.00.00,Banjir,Gresik Kabupaten,Hujan Lebat,RENDAH
18/02/2024 18.00.00,Banjir,Bojonegoro Kabupaten,Hujan Lebat,RENDAH
18/02/2024 16.00.00,Banjir,Sidoarjo Kabupaten,Hujan Lebat,TINGGI
18/02/2024 15.30.00,Banjir,Malang Kabupaten,Hujan Ringan,RENDAH
18/02/2024 15.30.00,Banjir,Malang Kota,Hujan Lebat,RENDAH
18/02/2024 14.30.00,Banjir,Bondowoso Kabupaten,Hujan Lebat,RENDAH
18/02/2024 11.00.00,Banjir,Gresik Kabupaten,Berawan,TINGGI
17/02/2024 15.00.00,Banjir,Malang Kota,Hujan,RENDAH
17/02/2024 15.00.00,Banjir,Lamongan Kabupaten,Hujan Lebat,RENDAH
17/02/2024 15.00.00,Banjir,Sidoarjo Kabupaten,Hujan Sedang,RENDAH
16/02/2024 19.45.00,Banjir,Pasuruan Kabupaten,Hujan,TINGGI
15/02/2024 19.30.00,Banjir,Pasuruan Kabupaten,Hujan,RENDAH
15/02/2024 15.15.00,Banjir,Bondowoso Kabupaten,Hujan,RENDAH
14/02/2024 12.00.00,Banjir,Pamekasan Kabupaten,Hujan,RENDAH
13/02/2024 16.00.00,Banjir,Bondowoso Kabupaten,Hujan Lebat,RENDAH
12/02/2024 16.30.00,Banjir,Pamekasan Kabupaten,Cerah,RENDAH
11/02/2024 17.00.00,Banjir,Pamekasan Kabupaten,Hujan Sedang,RENDAH
11/02/2024 16.23.00,Banjir,Nganjuk Kabupaten,Berawan,RENDAH
10/02/2024 15.30.00,Banjir,Probolinggo Kota,Hujan,RENDAH
10/02/2024 14.00.00,Banjir,Ponorogo Kabupaten,Hujan,RENDAH
10/02/2024 13.30.00,Banjir,Ponorogo Kabupaten,Hujan,RENDAH
10/02/2024 13.00.00,Banjir,Blitar Kabupaten,Hujan,RENDAH
09/02/2024 18.30.00,Banjir,Mojokerto Kabupaten,Hujan Lebat,SEDANG
09/02/2024 14.00.00,Banjir,Pamekasan Kabupaten,Hujan Lebat,RENDAH
09/02/2024 14.00.00,Banjir,Bondowoso Kabupaten,Hujan Lebat,RENDAH
07/02/2024 15.30.00,Banjir,Jember Kabupaten,Hujan,SEDANG
07/02/2024 02.00.00,Banjir,Lamongan Kabupaten,Hujan,SEDANG
07/02/2024 00.30.00,Banjir,Jombang Kabupaten,Hujan,SEDANG
06/02/2024 15.00.00,Banjir,Pasuruan Kota,Hujan Lebat,RENDAH
06/02/2024 12.44.00,Banjir,Bondowoso Kabupaten,Hujan Lebat,RENDAH
06/02/2024 12.30.00,Banjir,Lamongan Kabupaten,Hujan,SEDANG
06/02/2024 11.00.00,Banjir,Gresik Kabupaten,Hujan Lebat,TINGGI
06/02/2024 05.00.00,Banjir,Lamongan Kabupaten,Hujan Sedang,SEDANG
06/02/2024 02.00.00,Banjir,Sampang Kabupaten,Hujan Lebat,RENDAH
06/02/2024 02.00.00,Banjir,Gresik Kabupaten,Hujan,RENDAH
05/02/2024 23.00.00,Banjir,Sidoarjo Kabupaten,Hujan Lebat,SEDANG
05/02/2024 22.10.00,Banjir,Lamongan Kabupaten,Hujan,RENDAH
05/02/2024 20.00.00,Banjir,Madiun Kabupaten,Hujan,RENDAH
05/02/2024 20.00.00,Banjir,Lamongan Kabupaten,Hujan Lebat,SEDANG
05/02/2024 19.00.00,Banjir,Bojonegoro Kabupaten,Hujan Lebat,TINGGI
05/02/2024 18.30.00,Banjir,Gresik Kabupaten,Hujan,TINGGI
05/02/2024 05.30.00,Banjir,Sidoarjo Kabupaten,Hujan,SEDANG
05/02/2024 02.00.00,Banjir,Mojokerto Kabupaten,Hujan Lebat,SEDANG
05/02/2024 01.15.00,Banjir,Mojokerto Kabupaten,Berawan,SEDANG
04/02/2024 18.00.00,Banjir,Pasuruan Kabupaten,Hujan,TINGGI
04/02/2024 17.00.00,Banjir,Probolinggo Kota,Berawan - Hujan Ringan,RENDAH
04/02/2024 15.45.00,Banjir,Mojokerto Kabupaten,Hujan,RENDAH
04/02/2024 13.00.00,Banjir,Bondowoso Kabupaten,Hujan,RENDAH
01/02/2024 15.00.00,Banjir,Lumajang Kabupaten,Hujan lebat,RENDAH
31/01/2024 17.16.00,Banjir,Blitar Kota,Hujan,RENDAH
31/01/2024 16.00.00,Banjir,Lamongan Kabupaten,Hujan Lebat,SEDANG
31/01/2024 14.00.00,Banjir,Lumajang Kabupaten,Berawan,RENDAH
31/01/2024 13.00.00,Banjir,Pasuruan Kabupaten,Hujan,RENDAH
30/01/2024 21.00.00,Banjir,Pamekasan Kabupaten,Hujan,RENDAH
30/01/2024 16.00.00,Banjir,Batu Kota,Hujan,RENDAH
30/01/2024 16.00.00,Banjir,Batu Kota,Hujan,RENDAH
30/01/2024 15.00.00,Banjir,Gresik Kabupaten,Hujan,RENDAH
30/01/2024 12.00.00,Banjir,Bojonegoro Kabupaten,Hujan,SEDANG
29/01/2024 17.00.00,Banjir,Batu Kota,Hujan Lebat,RENDAH
29/01/2024 16.00.00,Banjir,Trenggalek Kabupaten,Hujan,RENDAH
28/01/2024 15.00.00,Banjir,Ponorogo Kabupaten,Hujan Lebat,RENDAH
28/01/2024 14.30.00,Banjir,Pasuruan Kota,Hujan Lebat,RENDAH
27/01/2024 20.00.00,Banjir,Madiun Kota,Hujan lebat,RENDAH
27/01/2024 18.00.00,Banjir,Probolinggo Kabupaten,Hujan,SEDANG
27/01/2024 18.00.00,Banjir,Madiun Kabupaten,Hujan Lebat,RENDAH
27/01/2024 17.30.00,Banjir Bandang,Pasuruan Kabupaten,Hujan Sedang - Lebat,SEDANG
27/01/2024 17.00.00,Banjir Bandang,Pasuruan Kabupaten,Hujan Lebat,RENDAH
27/01/2024 16.00.00,Banjir dan Tanah Longsor,Probolinggo Kabupaten,Hujan Lebat,RENDAH
27/01/2024 14.30.00,Banjir,Tulungagung Kabupaten,Hujan,RENDAH
26/01/2024 15.25.00,Banjir,Batu Kota,Hujan,RENDAH
25/01/2024 14.50.00,Banjir,Lamongan Kabupaten,Hujan,RENDAH
23/01/2024 05.30.00,Banjir,Sidoarjo Kabupaten,Hujan ringan - sedang,RENDAH
22/01/2024 16.50.00,Banjir,Pasuruan Kabupaten,Hujan,RENDAH
19/01/2024 13.30.00,Banjir,Sidoarjo Kabupaten,Hujan,RENDAH
17/01/2024 14.40.00,Banjir,Sidoarjo Kabupaten,Cerah Berawan,RENDAH
10/01/2024 17.35.00,Banjir,Kediri Kabupaten,Hujan,SEDANG
10/01/2024 17.30.00,Banjir,Madiun Kota,Hujan,SEDANG
10/01/2024 16.00.00,Banjir,Jember Kabupaten,Berawan,RENDAH
10/01/2024 05.00.00,Banjir,Lamongan Kabupaten,Cerah Berawan,SEDANG
09/01/2024 18.22.00,Banjir,Sampang Kabupaten,Hujan Lebat,RENDAH
09/01/2024 16.00.00,Banjir,Pasuruan Kabupaten,Hujan Lebat,RENDAH
09/01/2024 14.50.00,Banjir,Sidoarjo Kabupaten,Hujan Lebat,RENDAH
07/01/2024 16.30.00,Banjir,Batu Kota,Hujan Lebat,RENDAH
07/01/2024 16.30.00,Banjir,Batu Kota,Berawan,RENDAH
07/01/2024 16.30.00,Banjir,Batu Kota,Hujan Ringan,RENDAH
07/01/2024 04.30.00,Banjir,Sidoarjo Kabupaten,Berawan,RENDAH
06/01/2024 17.00.00,Banjir,Lumajang Kabupaten,Hujan,RENDAH
02/01/2024 15.30.00,Banjir,Malang Kota,Hujan Lebat,RENDAH
02/01/2024 14.48.34,Banjir,Kediri Kota,Hujan Lebat,RENDAH
30/12/2023 15.45.00,Banjir,Malang Kota,Hujan Lebat,RENDAH
29/12/2023 22.00.00,Banjir,Batu Kota,Hujan,RENDAH
29/12/2023 20.00.00,Banjir,Batu Kota,Hujan Lebat,RENDAH
25/12/2023 14.50.00,Banjir,Malang Kota,Hujan Lebat,RENDAH
15/12/2023 15.00.00,Banjir,Sidoarjo Kabupaten,Hujan,RENDAH
08/12/2023 18.00.00,Banjir,Bojonegoro Kabupaten,Hujan,RENDAH
08/12/2023 15.00.00,Banjir,Batu Kota,Hujan Lebat,RENDAH
08/12/2023 13.00.00,Banjir,Nganjuk Kabupaten,Hujan Lebat,RENDAH
08/12/2023 10.00.00,Banjir,Mojokerto Kabupaten,Hujan Lebat,RENDAH
08/12/2023 04.00.00,Banjir,Gresik Kabupaten,Hujan Lebat,SEDANG
07/12/2023 15.30.00,Banjir,Batu Kota,Berawan,RENDAH
05/12/2023 14.00.00,Banjir,Malang Kabupaten,Hujan Lebat,RENDAH
01/12/2023 15.40.00,Banjir,Bojonegoro Kabupaten,Hujan Sedang,RENDAH
01/12/2023 13.00.00,Banjir,Batu Kota,Hujan Lebat,RENDAH
30/11/2023 15.00.00,Banjir,Malang Kota,Hujan Lebat,RENDAH
30/11/2023 14.30.00,Banjir,Malang Kabupaten,Hujan Lebat,RENDAH
29/11/2023 13.00.00,Banjir,Malang Kabupaten,Berawan,RENDAH
27/11/2023 18.45.00,Banjir,Madiun Kota,Hujan Lebat,RENDAH
25/11/2023 15.00.00,Banjir,Malang Kabupaten,Hujan Lebat,RENDAH
25/11/2023 14.00.00,Banjir,Malang Kota,Hujan Lebat,RENDAH
24/11/2023 13.45.00,Banjir,Malang Kota,Hujan Lebat,RENDAH
11/11/2023 13.30.00,Banjir,Malang Kota,Hujan Lebat,RENDAH
04/11/2023 13.15.00,Banjir,Malang Kota,Hujan Ringan - Sedang,RENDAH
03/11/2023 13.31.00,Banjir,Malang Kota,Hujan Sedang,RENDAH
09/07/2023 10.25.00,Banjir,Banyuwangi Kabupaten,Berawan,RENDAH
07/07/2023 13.00.00,Banjir Rob,Banyuwangi Kabupaten,Cerah,RENDAH
07/07/2023 12.00.00,Banjir,Lumajang Kabupaten,Hujan Sedang,SEDANG
07/07/2023 09.00.00,Banjir,Malang Kabupaten,Hujan Sedang,SEDANG
07/07/2023 07.30.00,Banjir,Malang Kabupaten,Hujan Sedang,SEDANG
04/07/2023 20.00.00,Banjir,Gresik Kabupaten,Hujan Ringan - Sedang,RENDAH
11/05/2023 08.30.00,Banjir,Banyuwangi Kabupaten,Hujan Ringan - Lebat,RENDAH
06/05/2023 19.00.00,Banjir,Pasuruan Kota,Cerah Berawan,RENDAH
06/05/2023 18.30.00,Banjir,Ngawi Kabupaten,Hujan Lebat,RENDAH
06/05/2023 17.45.00,Banjir,Nganjuk Kabupaten,Hujan Sedang - Lebat,RENDAH
03/05/2023 19.00.00,Banjir,Ngawi Kabupaten,Hujan,RENDAH
03/05/2023 18.00.00,Banjir,Jember Kabupaten,Hujan,RENDAH
02/05/2023 19.30.00,Banjir,Trenggalek Kabupaten,Hujan Lebat,RENDAH
01/05/2023 22.00.00,Banjir,Nganjuk Kabupaten,Berawan - Hujan Sedang,RENDAH
30/04/2023 17.00.00,Banjir,Jember Kabupaten,Hujan Lebat,RENDAH
29/04/2023 14.00.24,Banjir,Jember Kabupaten,Hujan Sedang - Lebat,RENDAH
28/04/2023 14.00.00,Banjir,Jombang Kabupaten,Hujan,RENDAH
28/04/2023 14.00.00,Banjir,Lumajang Kabupaten,Hujan,RENDAH
28/04/2023 02.00.00,Banjir,Sampang Kabupaten,Hujan Lebat,RENDAH
27/04/2023 16.20.00,Banjir,Lumajang Kabupaten,Berawan,RENDAH
26/04/2023 14.16.00,Banjir,Bondowoso Kabupaten,Hujan Lebat,RENDAH
17/04/2023 16.00.00,Banjir,Malang Kota,Hujan Lebat,RENDAH
17/04/2023 15.00.00,Banjir,Pamekasan Kabupaten,Hujan Lebat,RENDAH
14/04/2023 15.10.37,Banjir,Tuban Kabupaten,Hujan,RENDAH
13/04/2023 05.30.00,Banjir,Sumenep Kabupaten,Hujan,RENDAH
13/04/2023 04.30.00,Banjir,Jember Kabupaten,Hujan,RENDAH
13/04/2023 04.30.00,Banjir,Lumajang Kabupaten,Hujan,RENDAH
13/04/2023 03.00.00,Banjir Bandang,Malang Kabupaten,Hujan,RENDAH
10/04/2023 16.00.00,Banjir,Pasuruan Kabupaten,Hujan Lebat,RENDAH
09/04/2023 06.30.42,Banjir,Gresik Kabupaten,Hujan Lebat,RENDAH
05/04/2023 19.00.00,Banjir,Ngawi Kabupaten,Hujan Lebat,RENDAH
05/04/2023 18.30.00,Banjir,Pasuruan Kabupaten,Hujan Lebat,RENDAH
05/04/2023 17.00.00,Banjir,Pasuruan Kota,Hujan Lebat,RENDAH
03/04/2023 15.00.00,Banjir,Pasuruan Kabupaten,Hujan,RENDAH
03/04/2023 13.00.00,Banjir,Probolinggo Kabupaten,Hujan,RENDAH
02/04/2023 17.00.00,Banjir,Pasuruan Kabupaten,Hujan Sedang,RENDAH
02/04/2023 13.00.00,Banjir,Pasuruan Kota,Hujan Lebat,RENDAH
01/04/2023 14.00.00,Banjir,Ponorogo Kabupaten,Hujan Lebat,RENDAH
01/04/2023 05.15.00,Banjir,Gresik Kabupaten,Hujan,SEDANG
31/03/2023 20.00.00,Banjir,Pasuruan Kota,Hujan Lebat,RENDAH
31/03/2023 19.43.00,Banjir,Sampang Kabupaten,Hujan Lebat,RENDAH
31/03/2023 16.35.00,Banjir,Pasuruan Kabupaten,Hujan Lebat,RENDAH
30/03/2023 17.30.00,Banjir,Ngawi Kabupaten,Hujan Lebat,RENDAH
28/03/2023 20.00.00,Banjir,Pamekasan Kabupaten,Hujan Lebat,RENDAH
28/03/2023 18.53.56,Banjir,Bondowoso Kabupaten,Hujan Sedang,SEDANG
28/03/2023 15.30.00,Banjir,Probolinggo Kabupaten,Hujan Lebat,RENDAH
28/03/2023 15.00.00,Banjir,Tulungagung Kabupaten,Hujan Lebat,RENDAH
26/03/2023 16.00.00,Banjir,Batu Kota,Hujan,RENDAH
25/03/2023 21.00.00,Banjir,Blitar Kabupaten,Berawan,RENDAH
25/03/2023 19.00.54,Banjir,Pasuruan Kabupaten,Hujan Lebat,RENDAH
25/03/2023 16.43.53,Banjir,Kediri Kota,Hujan Lebat,RENDAH
25/03/2023 16.00.00,Banjir,Jombang Kabupaten,Hujan Lebat,RENDAH
25/03/2023 00.15.08,Banjir,Malang Kabupaten,Hujan,RENDAH
24/03/2023 14.30.00,Banjir,Malang Kota,Hujan,RENDAH
24/03/2023 13.30.00,Banjir,Pamekasan Kabupaten,Hujan,RENDAH
24/03/2023 12.25.00,Banjir,Lumajang Kabupaten,Hujan,RENDAH
23/03/2023 04.30.00,Banjir,Kediri Kabupaten,Hujan Lebat,RENDAH
22/03/2023 21.00.00,Banjir,Kediri Kota,Hujan Lebat,RENDAH
22/03/2023 04.00.00,Banjir,Jombang Kabupaten,Hujan Sedang - Lebat,RENDAH
22/03/2023 03.15.00,Banjir,Mojokerto Kabupaten,Hujan Lebat,RENDAH
22/03/2023 03.00.00,Banjir,Madiun Kabupaten,Hujan Intensitas Sedang-TInggi,RENDAH
22/03/2023 03.00.00,Banjir,Pasuruan Kabupaten,Hujan Lebat,RENDAH
22/03/2023 02.00.00,Banjir,Mojokerto Kabupaten,Hujan Sedang,RENDAH
16/03/2023 12.00.00,Banjir,Bondowoso Kabupaten,Hujan Sedang - Lebat,RENDAH
15/03/2023 17.30.34,Banjir,Lamongan Kabupaten,Cerah Berawan,RENDAH
15/03/2023 06.20.00,Banjir,Lamongan Kabupaten,Hujan,RENDAH
15/03/2023 01.30.00,Banjir,Lamongan Kabupaten,Hujan Lebat,RENDAH
14/03/2023 22.30.00,Banjir,Gresik Kabupaten,Hujan,RENDAH
14/03/2023 19.30.00,Banjir,Pasuruan Kabupaten,Hujan,RENDAH
14/03/2023 17.00.00,Banjir,Gresik Kabupaten,Hujan,SEDANG
14/03/2023 16.00.00,Banjir,Batu Kota,Hujan,RENDAH
14/03/2023 15.30.00,Banjir,Mojokerto Kabupaten,Hujan,RENDAH
14/03/2023 15.00.00,Banjir,Lamongan Kabupaten,Hujan,RENDAH
14/03/2023 15.00.00,Banjir,Lamongan Kabupaten,Hujan,RENDAH
14/03/2023 11.00.02,Banjir,Batu Kota,Hujan Lebat,RENDAH
09/03/2023 05.00.00,Banjir,Gresik Kabupaten,Hujan,RENDAH
08/03/2023 18.00.00,Banjir,Batu Kota,Hujan Lebat,RENDAH
05/03/2023 14.00.08,Banjir,Situbondo Kabupaten,Hujan Lebat,RENDAH
05/03/2023 13.30.11,Banjir,Bondowoso Kabupaten,Hujan Sedang - Lebat,SEDANG
05/03/2023 04.30.13,Banjir,Gresik Kabupaten,Cerah Berawan,RENDAH
04/03/2023 17.45.00,Banjir,Jember Kabupaten,Hujan,SEDANG
04/03/2023 16.30.00,Banjir,Pasuruan Kabupaten,Berawan,RENDAH
04/03/2023 14.00.00,Banjir,Pasuruan Kabupaten,Hujan,RENDAH
04/03/2023 06.00.00,Banjir,Bojonegoro Kabupaten,Hujan,SEDANG
03/03/2023 07.30.00,Banjir dan Tanah Longsor,Gresik Kabupaten,Hujan Lebat,RENDAH
03/03/2023 03.00.00,Banjir,Mojokerto Kabupaten,Hujan,RENDAH
02/03/2023 23.00.00,Banjir,Jombang Kabupaten,Hujan,SEDANG
02/03/2023 16.00.00,Banjir,Kediri Kota,Hujan Sedang,RENDAH
02/03/2023 14.00.00,Banjir,Jombang Kabupaten,Hujan Sedang,SEDANG
02/03/2023 13.00.00,Banjir,Jember Kabupaten,Hujan Lebat,RENDAH
02/03/2023 12.00.00,Banjir,Ngawi Kabupaten,Hujan,RENDAH
02/03/2023 04.00.00,Banjir dan Tanah Longsor,Gresik Kabupaten,Hujan,SEDANG
01/03/2023 16.00.00,Banjir,Pasuruan Kabupaten,Hujan,SEDANG
01/03/2023 15.00.00,Banjir,Tuban Kabupaten,Hujan,RENDAH
01/03/2023 09.00.00,Banjir,Jombang Kabupaten,Berawan,RENDAH
01/03/2023 05.30.00,Banjir,Kediri Kabupaten,Hujan Lebat,RENDAH
28/02/2023 20.00.00,Banjir,Situbondo Kabupaten,Hujan,RENDAH
28/02/2023 20.00.00,Banjir,Situbondo Kabupaten,Hujan,RENDAH
28/02/2023 20.00.00,Banjir,Situbondo Kabupaten,Hujan Lebat,RENDAH
28/02/2023 18.35.00,Banjir,Probolinggo Kabupaten,Hujan,RENDAH
28/02/2023 18.00.00,Banjir,Lumajang Kabupaten,Hujan Lebat,RENDAH
28/02/2023 17.30.00,Banjir,Magetan Kabupaten,Hujan,RENDAH
25/02/2023 19.00.00,Banjir,Ponorogo Kabupaten,Hujan,RENDAH
25/02/2023 15.00.00,Banjir,Jember Kabupaten,Hujan Lebat,RENDAH
24/02/2023 20.30.00,Banjir,Ponorogo Kabupaten,Hujan Lebat,RENDAH
24/02/2023 15.00.00,Banjir,Blitar Kabupaten,Hujan Sedang - Lebat,RENDAH
24/02/2023 13.00.00,Banjir,Jember Kabupaten,Hujan Lebat,RENDAH
23/02/2023 05.00.00,Banjir,Mojokerto Kabupaten,Hujan Lebat,RENDAH
22/02/2023 16.30.00,Banjir,Madiun Kabupaten,Hujan,RENDAH
22/02/2023 01.00.00,Banjir,Jombang Kabupaten,Hujan,RENDAH
21/02/2023 21.30.00,Banjir,Jombang Kabupaten,Hujan Lebat,RENDAH
21/02/2023 18.00.00,Banjir,Gresik Kabupaten,Hujan,SEDANG
21/02/2023 18.00.00,Banjir,Jombang Kabupaten,Hujan,RENDAH
21/02/2023 17.30.00,Banjir,Ngawi Kabupaten,Hujan,RENDAH
21/02/2023 17.00.00,Banjir,Pasuruan Kabupaten,Hujan Lebat,SEDANG
21/02/2023 16.00.00,Banjir,Jombang Kabupaten,Hujan,RENDAH
19/02/2023 10.00.00,Banjir,Sidoarjo Kabupaten,Hujan,RENDAH
19/02/2023 05.00.00,Banjir,Mojokerto Kabupaten,Hujan,RENDAH
19/02/2023 04.00.00,Banjir,Gresik Kabupaten,Hujan Lebat,TINGGI
18/02/2023 16.00.32,Banjir,Gresik Kabupaten,Hujan Lebat,SEDANG
18/02/2023 13.00.00,Banjir,Bojonegoro Kabupaten,Hujan Lebat,SEDANG
18/02/2023 05.00.06,Banjir,Lamongan Kabupaten,Hujan Lebat,SEDANG
17/02/2023 16.00.00,Banjir,Bondowoso Kabupaten,Hujan Lebat,RENDAH
16/02/2023 21.31.28,Banjir,Pasuruan Kota,Hujan,RENDAH
16/02/2023 19.30.00,Banjir,Pasuruan Kabupaten,Hujan,RENDAH
16/02/2023 17.45.00,Banjir,Nganjuk Kabupaten,Hujan,RENDAH
16/02/2023 17.30.00,Banjir,Jombang Kabupaten,Hujan,SEDANG
16/02/2023 17.00.00,Banjir,Sidoarjo Kabupaten,Hujan,RENDAH
16/02/2023 11.30.00,Banjir,Gresik Kabupaten,Hujan,RENDAH
15/02/2023 09.00.00,Banjir,Ngawi Kabupaten,Hujan,RENDAH
15/02/2023 00.30.00,Banjir,Ponorogo Kabupaten,Hujan Sedang - Lebat,RENDAH
13/02/2023 03.00.21,Banjir,Jember Kabupaten,Hujan Lebat,RENDAH
12/02/2023 18.25.00,Banjir Bandang,Bondowoso Kabupaten,Hujan,TINGGI
12/02/2023 16.40.00,Banjir,Banyuwangi Kabupaten,Berawan,RENDAH
12/02/2023 16.30.00,Banjir,Banyuwangi Kabupaten,Hujan Sedang,RENDAH
12/02/2023 13.30.00,Banjir,Nganjuk Kabupaten,Hujan,RENDAH
11/02/2023 17.10.00,Banjir,Jember Kabupaten,Hujan Lebat,RENDAH
11/02/2023 17.00.00,Banjir,Malang Kota,Hujan Lebat,RENDAH
11/02/2023 16.00.00,Banjir,Ponorogo Kabupaten,Hujan,RENDAH
10/02/2023 16.00.00,Banjir,Banyuwangi Kabupaten,Hujan Sedang,RENDAH
10/02/2023 15.00.00,Banjir,Ponorogo Kabupaten,Hujan Lebat,RENDAH
10/02/2023 15.00.00,Banjir,Probolinggo Kota,Hujan Ringan - Lebat,SEDANG
09/02/2023 21.00.00,Banjir,Mojokerto Kabupaten,Hujan Lebat,SEDANG
09/02/2023 18.30.00,Banjir,Probolinggo Kabupaten,Hujan Lebat,SEDANG
09/02/2023 15.00.00,Banjir,Mojokerto Kabupaten,Hujan Lebat,RENDAH
09/02/2023 15.00.00,Banjir,Probolinggo Kota,Hujan intensitas tinggi,RENDAH
09/02/2023 13.45.00,Banjir,Pasuruan Kabupaten,Hujan Lebat,TINGGI
09/02/2023 13.45.00,Banjir,Pasuruan Kabupaten,Hujan Lebat,SEDANG
08/02/2023 18.00.00,Banjir,Situbondo Kabupaten,Hujan Lebat,RENDAH
08/02/2023 15.00.00,Banjir,Malang Kota,Hujan Lebat,RENDAH
08/02/2023 15.00.00,Banjir,Malang Kabupaten,Hujan Lebat,RENDAH
08/02/2023 14.30.45,Banjir,Kediri Kota,Hujan Lebat,RENDAH
07/02/2023 20.00.00,Banjir,Kediri Kabupaten,Hujan Lebat,RENDAH
07/02/2023 18.00.00,Banjir,Pasuruan Kabupaten,Hujan,RENDAH
07/02/2023 17.00.00,Banjir,Nganjuk Kabupaten,Hujan,RENDAH
07/02/2023 17.00.00,Banjir,Nganjuk Kabupaten,Hujan,RENDAH
07/02/2023 16.00.00,Banjir,Ponorogo Kabupaten,Hujan,RENDAH
02/02/2023 14.30.00,Banjir,Lamongan Kabupaten,Hujan Lebat,SEDANG
01/02/2023 18.22.45,Banjir,Madiun Kabupaten,Hujan Lebat,RENDAH
01/02/2023 17.15.00,Banjir,Pasuruan Kabupaten,Hujan Lebat,SEDANG
