Waktu,Tipe Kejadian,Kabupaten / Kota,Cuaca,Tingkatan
17/05/2025 03.00.00,Banjir,Jombang Kabupaten,Hujan lebat,SEDANG
16/05/2025 18.00.00,Banjir Bandang,Kediri Kabupaten,Hujan Lebat,SEDANG
15/05/2025 20.53.54,Banjir,Tulungagung Kabupaten,Hujan Lebat,RENDAH
15/05/2025 16.00.00,Banjir,Blitar Kota,Hujan Sedang - Lebat,SEDANG
15/05/2025 16.00.00,Banjir dan Tanah Longsor,Ponorogo Kabupaten,Hujan Lebat,RENDAH
15/05/2025 03.00.00,Banjir,Lamongan Kabupaten,Hujan lebat,RENDAH
14/05/2025 19.15.00,Banjir,Jombang Kabupaten,Hujan Sedang,RENDAH
14/05/2025 15.30.00,Banjir,Tulungagung Kabupaten,Hujan Sedang,RENDAH
14/05/2025 15.30.00,Banjir,Kediri Kabupaten,Hujan Lebat,SEDANG
14/05/2025 15.20.00,Banjir,Blitar Kota,Hujan Sedang,RENDAH
13/05/2025 22.30.00,Banjir,Tulungagung Kabupaten,Hujan,RENDAH
13/05/2025 21.00.00,Banjir,Sumenep Kabupaten,Hujan Lebat,SEDANG
13/05/2025 19.50.00,Banjir,Pasuruan Kabupaten,Hujan Lebat,RENDAH
13/05/2025 19.00.00,Banjir,Jombang Kabupaten,Hujan Sedang,RENDAH
13/05/2025 16.40.00,Banjir,Tulungagung Kabupaten,Hujan Lebat,RENDAH
13/05/2025 14.00.00,Banjir,Lumajang Kabupaten,Hujan,SEDANG
13/05/2025 13.30.00,Banjir,Pamekasan Kabupaten,Hujan Lebat,RENDAH
13/05/2025 12.00.00,Banjir,Sumenep Kabupaten,Hujan Lebat,RENDAH
13/05/2025 07.00.00,Banjir,Jombang Kabupaten,Berawan,SEDANG
12/05/2025 18.30.00,Banjir,Pasuruan Kota,Hujan,RENDAH
12/05/2025 16.45.00,Banjir,Pasuruan Kabupaten,Hujan,SEDANG
12/05/2025 16.45.00,Banjir,Pacitan Kabupaten,Hujan,RENDAH
12/05/2025 16.00.00,Banjir,Mojokerto Kabupaten,Hujan Sedang,SEDANG
12/05/2025 15.00.00,Banjir,Blitar Kota,hujan,RENDAH
12/05/2025 14.30.00,Banjir,Jombang Kabupaten,Hujan,RENDAH
12/05/2025 10.30.00,Banjir,Sampang Kabupaten,Cerah Berawan,SEDANG
12/05/2025 03.45.00,Banjir,Pamekasan Kabupaten,Hujan Lebat,TINGGI
12/05/2025 00.30.00,Banjir,Sidoarjo Kabupaten,Hujan Lebat,TINGGI
11/05/2025 20.00.00,Banjir,Madiun Kabupaten,Berawan - Hujan Ringan - Lebat,SEDANG
