TANGGAL,RR
24-12-2022,30.4
25-12-2022,10
26-12-2022,7.8
27-12-2022,4.3
28-12-2022,2.6
29-12-2022,37.1
30-12-2022,18.3
31-12-2022,0
1/1/2023,0.1
2/1/2023,1.6
3/1/2023,4.4
4/1/2023,6.2
5/1/2023,0
6/1/2023,24.4
7/1/2023,8.6
8/1/2023,2.3
9/1/2023,0
10/1/2023,0
11/1/2023,0
12/1/2023,0
13-01-2023,0
14-01-2023,0
15-01-2023,1.5
16-01-2023,1
17-01-2023,11.1
18-01-2023,20.7
19-01-2023,0
20-01-2023,2
21-01-2023,4.8
22-01-2023,5.1
23-01-2023,0
24-01-2023,28.3
25-01-2023,0
26-01-2023,53
27-01-2023,18.2
28-01-2023,46.5
29-01-2023,23.4
30-01-2023,15.3
31-01-2023,0
1/2/2023,2.7
2/2/2023,8.2
3/2/2023,4.1
4/2/2023,0
5/2/2023,6.1
6/2/2023,5
7/2/2023,15.7
8/2/2023,16
9/2/2023,9.5
10/2/2023,9
11/2/2023,2.5
12/2/2023,7
13-02-2023,11.2
14-02-2023,13
15-02-2023,2.1
16-02-2023,20
17-02-2023,1.3
18-02-2023,0.8
19-02-2023,0
20-02-2023,1.3
21-02-2023,0
22-02-2023,14.9
23-02-2023,14.9
24-02-2023,5.2
25-02-2023,2.3
26-02-2023,17
27-02-2023,19
28-02-2023,1.2
1/3/2023,44.8
2/3/2023,14.6
3/3/2023,21
4/3/2023,0
5/3/2023,1.3
6/3/2023,3.5
7/3/2023,0
8/3/2023,0
9/3/2023,8.1
10/3/2023,31.5
11/3/2023,0.7
12/3/2023,2.7
13-03-2023,0
14-03-2023,0.1
15-03-2023,22.7
16-03-2023,0
17-03-2023,0
18-03-2023,16.5
19-03-2023,0
20-03-2023,0
21-03-2023,7.3
22-03-2023,1
23-03-2023,3.7
24-03-2023,3
25-03-2023,33.6
26-03-2023,10.2
27-03-2023,0.4
28-03-2023,13.1
29-03-2023,34.9
30-03-2023,2.1
31-03-2023,0
1/4/2023,5.6
2/4/2023,3.3
3/4/2023,3.6
4/4/2023,2.1
5/4/2023,12.8
6/4/2023,38.8
7/4/2023,1.1
8/4/2023,0
9/4/2023,1.2
10/4/2023,0
11/4/2023,2
12/4/2023,0
13-04-2023,4.6
14-04-2023,1.5
15-04-2023,0
16-04-2023,0
17-04-2023,0
18-04-2023,4.5
19-04-2023,0.8
20-04-2023,0
21-04-2023,0
22-04-2023,0.9
23-04-2023,2.8
24-04-2023,0.2
25-04-2023,0
26-04-2023,0
27-04-2023,8.8
28-04-2023,0
29-04-2023,9.6
30-04-2023,10.9
1/5/2023,0
2/5/2023,0.2
3/5/2023,0
4/5/2023,0
5/5/2023,29.5
6/5/2023,0
7/5/2023,49.6
8/5/2023,2.7
9/5/2023,0
10/5/2023,5.6
11/5/2023,4.1
12/5/2023,1.8
13-05-2023,12.6
14-05-2023,0
15-05-2023,0
16-05-2023,0
17-05-2023,0
18-05-2023,0
19-05-2023,0
20-05-2023,0
21-05-2023,0
22-05-2023,0
23-05-2023,0
24-05-2023,0
25-05-2023,0
26-05-2023,0
27-05-2023,0
28-05-2023,0
29-05-2023,0
30-05-2023,0
31-05-2023,0
1/6/2023,0
2/6/2023,0
3/6/2023,0
4/6/2023,0
5/6/2023,0
6/6/2023,12.6
7/6/2023,1
8/6/2023,2.6
9/6/2023,0
10/6/2023,0
11/6/2023,0
12/6/2023,56.6
13-06-2023,1
14-06-2023,0
15-06-2023,0
16-06-2023,0
17-06-2023,0
18-06-2023,0
19-06-2023,0
20-06-2023,3.2
21-06-2023,0.8
22-06-2023,0
23-06-2023,0
24-06-2023,0
25-06-2023,0
26-06-2023,0
27-06-2023,0.2
28-06-2023,2
29-06-2023,3.4
30-06-2023,0
1/7/2023,0.8
2/7/2023,0.6
3/7/2023,0
4/7/2023,0
5/7/2023,0
6/7/2023,0
7/7/2023,0.2
8/7/2023,1
9/7/2023,0
10/7/2023,0.1
11/7/2023,0
12/7/2023,0
13-07-2023,0
14-07-2023,0
15-07-2023,0
16-07-2023,0
17-07-2023,0
18-07-2023,0
19-07-2023,0
20-07-2023,0
21-07-2023,0
22-07-2023,0
23-07-2023,0
24-07-2023,0
25-07-2023,0
26-07-2023,0
27-07-2023,0
28-07-2023,0
29-07-2023,0
30-07-2023,0
31-07-2023,0
1/8/2023,0
2/8/2023,0.1
3/8/2023,0
4/8/2023,0
5/8/2023,0.2
6/8/2023,0
7/8/2023,0
8/8/2023,0
9/8/2023,-
10/8/2023,0
11/8/2023,0
12/8/2023,0
13-08-2023,0
14-08-2023,0
15-08-2023,0
16-08-2023,0
17-08-2023,0
18-08-2023,0
19-08-2023,0
20-08-2023,0
21-08-2023,0
22-08-2023,0
23-08-2023,0
24-08-2023,0
25-08-2023,0
26-08-2023,0
27-08-2023,0
28-08-2023,0
29-08-2023,0
30-08-2023,0
31-08-2023,0
1/9/2023,0
2/9/2023,0
3/9/2023,0
4/9/2023,0
5/9/2023,0
6/9/2023,0
7/9/2023,0
8/9/2023,0
9/9/2023,0
10/9/2023,0
11/9/2023,0
12/9/2023,0
13-09-2023,0
14-09-2023,0
15-09-2023,0
16-09-2023,0
17-09-2023,0
18-09-2023,0
19-09-2023,0
20-09-2023,0
21-09-2023,0
22-09-2023,0
23-09-2023,0
24-09-2023,0
25-09-2023,0
26-09-2023,0
27-09-2023,0
28-09-2023,0
29-09-2023,0
30-09-2023,0
1/10/2023,0
2/10/2023,0
3/10/2023,0
4/10/2023,0
5/10/2023,0
6/10/2023,0
7/10/2023,0
8/10/2023,0
9/10/2023,0
10/10/2023,0
11/10/2023,0
12/10/2023,0
13-10-2023,0
14-10-2023,0
15-10-2023,0
16-10-2023,0
17-10-2023,0
18-10-2023,0
19-10-2023,0
20-10-2023,0
21-10-2023,0
22-10-2023,0
23-10-2023,0
24-10-2023,0
25-10-2023,0
26-10-2023,0
27-10-2023,3.2
28-10-2023,0
29-10-2023,0
30-10-2023,0
31-10-2023,0
1/11/2023,3.5
2/11/2023,0
3/11/2023,0
4/11/2023,56.5
5/11/2023,62.8
6/11/2023,40.2
7/11/2023,10.8
8/11/2023,0
9/11/2023,0
10/11/2023,22.2
11/11/2023,23.4
12/11/2023,0
13-11-2023,0
14-11-2023,0
15-11-2023,35.8
16-11-2023,35
17-11-2023,0
18-11-2023,0
19-11-2023,0
20-11-2023,0
21-11-2023,0
22-11-2023,2.8
23-11-2023,0
24-11-2023,0
25-11-2023,0
26-11-2023,18.7
27-11-2023,15.5
28-11-2023,29.5
29-11-2023,6.6
30-11-2023,11.8
1/12/2023,29.8
2/12/2023,5.8
3/12/2023,2.1
4/12/2023,70.9
5/12/2023,19.6
6/12/2023,7.7
7/12/2023,3
8/12/2023,19.9
9/12/2023,8.8
10/12/2023,2.1
11/12/2023,0
12/12/2023,0
13-12-2023,0
14-12-2023,8
15-12-2023,0.4
16-12-2023,4.8
17-12-2023,0
18-12-2023,0
19-12-2023,0
20-12-2023,0
21-12-2023,0
22-12-2023,0
23-12-2023,1.2
24-12-2023,0
25-12-2023,0
26-12-2023,13
27-12-2023,25.3
28-12-2023,29.3
29-12-2023,27.5
30-12-2023,1.4
31-12-2023,34
1/1/2024,8.6
2/1/2024,0
3/1/2024,0
4/1/2024,0
5/1/2024,0
6/1/2024,7.8
7/1/2024,6.3
8/1/2024,5.9
9/1/2024,0
10/1/2024,2.6
11/1/2024,0
12/1/2024,0
13-01-2024,0
14-01-2024,0
15-01-2024,0
16-01-2024,19
17-01-2024,0
18-01-2024,5.7
19-01-2024,12.4
20-01-2024,6.3
21-01-2024,0
22-01-2024,3.1
23-01-2024,5.4
24-01-2024,0
25-01-2024,0
26-01-2024,10.5
27-01-2024,20.3
28-01-2024,5
29-01-2024,1.9
30-01-2024,16.6
31-01-2024,54.4
1/2/2024,4.4
2/2/2024,40.1
3/2/2024,14.6
4/2/2024,3
5/2/2024,16.9
6/2/2024,5
7/2/2024,1.1
8/2/2024,0
9/2/2024,0.8
10/2/2024,17.5
11/2/2024,7.1
12/2/2024,1.5
13-02-2024,1.4
14-02-2024,0.2
15-02-2024,0
16-02-2024,0
17-02-2024,15.5
18-02-2024,26.7
19-02-2024,92.9
20-02-2024,30.2
21-02-2024,14.3
22-02-2024,0.4
23-02-2024,2
24-02-2024,3
25-02-2024,9.2
26-02-2024,8.2
27-02-2024,34.1
28-02-2024,47
29-02-2024,0
1/3/2024,0.3
2/3/2024,0.4
3/3/2024,0.2
4/3/2024,10
5/3/2024,37.2
6/3/2024,57.7
7/3/2024,0.6
8/3/2024,2.9
9/3/2024,10.3
10/3/2024,47.5
11/3/2024,0.3
12/3/2024,0.3
13-03-2024,0.1
14-03-2024,0.8
15-03-2024,9.2
16-03-2024,8
17-03-2024,0.4
18-03-2024,0.2
19-03-2024,0
20-03-2024,0
21-03-2024,1
22-03-2024,3.6
23-03-2024,0.9
24-03-2024,0
25-03-2024,21.5
26-03-2024,0
27-03-2024,8.3
28-03-2024,0.1
29-03-2024,3.1
30-03-2024,35.1
31-03-2024,15.8
1/4/2024,18.4
2/4/2024,78
3/4/2024,34
4/4/2024,0
5/4/2024,0
6/4/2024,0
7/4/2024,0
8/4/2024,0.6
9/4/2024,88.6
10/4/2024,10.5
11/4/2024,0.4
12/4/2024,34.8
13-04-2024,0.8
14-04-2024,0
15-04-2024,0
16-04-2024,0
17-04-2024,0.2
18-04-2024,7.5
19-04-2024,0
20-04-2024,0
21-04-2024,2.8
22-04-2024,1.5
23-04-2024,0
24-04-2024,20.8
25-04-2024,0
26-04-2024,1.2
27-04-2024,0
28-04-2024,0
29-04-2024,0
30-04-2024,0
1/5/2024,0
2/5/2024,0
3/5/2024,0
4/5/2024,0
